Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season
180,12/8/89,East,Away,IND,46,36,14,25,7,9,N3
181,12/9/89,East,Home,PHI,36,29,13,21,0,0,N3
182,12/12/89,West,Home,DAL,41,41,18,29,3,4,N3
183,12/14/89,East,Home,ORL,25,38,14,20,7,9,N3
184,12/16/89,East,Home,CHH,41,33,13,28,7,10,N3
185,12/19/89,West,Home,LAL,44,37,15,29,5,5,N3
186,12/20/89,East,Away,ORL,45,52,20,37,10,10,N3
187,12/22/89,East,Away,ATL,32,29,10,17,7,8,N3
188,12/23/89,East,Away,PHI,30,16,5,13,6,6,N3
189,12/26/89,West,Home,MIN,35,28,12,17,1,2,N3
190,12/29/89,West,Home,SAS,42,34,10,26,13,15,N3
191,12/30/89,East,Away,WSB,43,28,13,26,2,2,N3
192,1/3/90,East,Away,CLE,46,38,15,32,8,9,N3
193,1/5/90,East,Home,ORL,41,43,19,31,3,3,N3
194,1/6/90,East,Away,MIL,41,35,13,23,6,7,N3
195,1/9/90,East,Away,DET,34,16,6,17,3,4,N3
196,1/10/90,East,Away,IND,42,35,13,30,8,8,N3
197,1/12/90,East,Away,CHH,40,45,19,28,7,9,N3
198,1/13/90,West,Home,LAC,34,28,11,21,4,6,N3
199,1/15/90,East,Away,NYK,42,26,9,24,8,9,N3
200,1/18/90,West,Home,GSW,33,44,17,30,3,3,N3
201,1/19/90,East,Away,ATL,40,36,12,24,12,16,N3
202,1/21/90,East,Home,NYK,41,42,10,17,18,20,N3
203,1/23/90,East,Home,DET,45,32,11,31,9,11,N3
204,1/26/90,East,Away,PHI,42,31,12,27,7,9,N3
205,1/27/90,East,Home,NJN,35,39,15,25,8,8,N3
206,1/29/90,East,Home,ATL,30,16,7,14,2,3,N3
207,2/1/90,West,Away,HOU,38,35,16,31,3,4,N3
208,2/3/90,West,Away,SAS,46,44,17,32,8,8,N3
209,2/7/90,West,Away,LAL,40,32,12,21,8,12,N3
210,2/8/90,West,Away,DEN,37,15,5,18,4,6,N3
211,2/13/90,East,Away,MIA,40,26,8,16,10,11,N3
212,2/14/90,East,Away,ORL,47,49,21,43,7,10,N3
213,2/16/90,East,Home,MIA,31,26,10,14,5,6,N3
214,2/18/90,East,Away,MIL,36,39,15,26,9,10,N3
215,2/19/90,West,Home,HOU,42,30,11,25,8,9,N3
216,2/23/90,West,Home,POR,35,35,12,25,9,10,N3
217,2/25/90,East,Away,NJN,44,32,12,24,8,9,N3
218,2/27/90,East,Home,MIL,41,43,13,25,17,19,N3
219,3/2/90,East,Home,NJN,31,23,8,12,5,6,N3
220,3/4/90,East,Away,BOS,40,36,11,23,13,15,N3
221,3/6/90,East,Away,MIL,37,35,14,26,5,6,N3
222,3/8/90,West,Home,UTA,47,43,12,29,19,22,N3
223,3/10/90,East,Home,IND,39,45,17,27,10,10,N3
224,3/13/90,East,Away,NYK,42,34,11,19,11,12,N3
225,3/16/90,East,Home,DET,41,20,8,17,1,3,N3
226,3/17/90,East,Home,PHI,39,32,13,21,3,4,N3
227,3/20/90,East,Home,WSB,39,21,8,19,4,4,N3
228,3/21/90,East,Away,ATL,38,27,10,20,7,9,N3
229,3/23/90,East,Home,CLE,40,41,18,32,5,6,N3
